last_work,next_work,weight
"University of California, Berkeley","University of California, Irvine",1
"University of California, Berkeley",Brown University,3
"University of California, Berkeley",California Institute of Technology,2
"University of California, Berkeley",University of Minnesota,3
"University of California, Berkeley",Princeton University,2
"University of California, Berkeley",University of Washington,4
"University of California, Berkeley","University of California, San Diego",1
"University of California, Berkeley",Nanyang Technological University,1
"University of California, Berkeley",West Virginia University,1
"University of California, Berkeley",Case Western Reserve University,1
"University of California, Berkeley",University of Florida,1
"University of California, Berkeley",University of North Carolina at Chapel Hill,2
"University of California, Berkeley",Ohio State University,1
"University of California, Berkeley",University of Oregon,1
"University of California, Berkeley",University of Texas at Arlington,1
"University of California, Berkeley",North Carolina State University,1
"University of California, Berkeley",Washington University in St. Louis,1
Johns Hopkins University,Stony Brook University,1
Johns Hopkins University,Brown University,2
Johns Hopkins University,Johns Hopkins University,3
Johns Hopkins University,University of the Amazon,1
Johns Hopkins University,University of Chicago,1
Johns Hopkins University,"University of Maryland, College Park",1
Johns Hopkins University,University of Utah,1
Johns Hopkins University,University of Pennsylvania,1
Johns Hopkins University,Vanderbilt University,1
Johns Hopkins University,Washington University in St. Louis,1
Johns Hopkins University,National University of Singapore,1
Johns Hopkins University,University of Pittsburgh,1
Johns Hopkins University,University of North Carolina at Chapel Hill,1
Johns Hopkins University,University of Colorado Boulder,1
Johns Hopkins University,California Institute of Technology,1
Johns Hopkins University,"University of California, Irvine",1
Johns Hopkins University,University of Massachusetts Amherst,1
Stony Brook University,University of Toronto,1
Stony Brook University,University of Texas at Arlington,1
Stony Brook University,Stony Brook University,3
Stony Brook University,University of Colorado Boulder,1
Stony Brook University,Carnegie Mellon University,2
Stony Brook University,University of Michigan,1
Stony Brook University,Indiana University,1
Stony Brook University,University of Illinois Chicago,1
Stony Brook University,Dowling College,1
Stony Brook University,"University of Maryland, College Park",5
Stony Brook University,University of North Carolina at Chapel Hill,2
Stony Brook University,New York University,1
University of Innsbruck,Free University of Bozen-Bolzano,1
University of Michigan,Virginia Tech,1
University of Michigan,Sungkyunkwan University,1
University of Michigan,Yale University,1
