last_edu,next_edu,weight
University of Edinburgh,University of Edinburgh,1
University of Edinburgh,University of the Witwatersrand,2
University of Edinburgh,University of Stuttgart,1
University of Edinburgh,Fachhochschule für die Wirtschaft Hannover,1
New York University,Williams College,1
New York University,University of Colorado Boulder,1
New York University,Cornell University,1
Chalmers University of Technology,TU Dresden,1
KTH Royal Institute of Technology,Chalmers University of Technology,1
Rockefeller University,University of Oxford,1
University of British Columbia,"Bauhaus University, Weimar",1
University of British Columbia,Western University,1
University of British Columbia,University of British Columbia,1
University of Padua,University of Padua,2
Stanford University School of Medicine,Harvard University,1
University of Colorado Boulder,Brown University,1
University of Colorado Boulder,Colorado State University,1
University of Colorado Boulder,University of Colorado Boulder,1
University of Colorado Boulder,University of Iowa,1
Karlsruhe Institute of Technology,National Technical University of Athens,1
College of Staten Island,College of Staten Island,1
George Washington University,College of Staten Island,1
Wharton School of the University of Pennsylvania,Swarthmore College,1
UCLA Anderson School of Management,Harvard University,1
Northwestern University Pritzker School of Law,UCLA Anderson School of Management,1
New York University Grossman School of Medicine,Wellesley College,1
Czech Technical University in Prague,Charles University,1
Stevens Institute of Technology,Stevens Institute of Technology,1
Nanyang Technological University,"Birla Institute of Technology and Science, Pilani",1
Nanyang Technological University,Massachusetts Institute of Technology,1
Virginia Tech,Veermata Jijabai Technological Institute,1
Virginia Tech,Auburn University,1
Purdue University,Tsinghua University,2
Purdue University,Johns Hopkins University,1
Purdue University,Purdue University,1
Purdue University,Illinois Institute of Technology,1
Central China Normal University,Central China Normal University,1
University College London,Columbia University,1
University College London,University of London,1
North Carolina State University,Johnson C. Smith University,1
North Carolina State University,North Carolina State University,2
North Carolina State University,PES University,1
MIT Sloan School of Management,Massachusetts Institute of Technology,1
Max Planck Institute for Intelligent Systems,University of Texas at Austin,1
University of Florida,Fudan University,1
University of Florida,Virginia Tech,1
Harvard Medical School,Massachusetts Institute of Technology,1
Harvard Medical School,"University of California, Santa Cruz",1
Harvard–MIT Program in Health Sciences and Technology,Massachusetts Institute of Technology,1
IIT Madras,Kendriya Vidyalaya,1
IIT Madras,University of Calicut,1
City University of New York,New York University,1
Dartmouth College,Dartmouth College,1
Dartmouth College,Choate Rosemary Hall,1
Dartmouth College,Shanghai Jiao Tong University,1
Dartmouth College,Sharif University of Technology,1
University of Virginia,Bangladesh University of Engineering and Technology,1
University of Virginia,University of Virginia,1
University of Virginia,University of Chicago,1
University of Virginia,Carleton College,1
United States Navy Strike Fighter Tactics Instructor program,Cornell University,1
Vanderbilt University,Tennessee Technological University,1
Vanderbilt University,Budapest University of Technology and Economics,2
Vanderbilt University,Vanderbilt University,4
Vanderbilt University,Indian Institute of Technology (BHU) Varanasi,1
Vanderbilt University,Beijing University of Posts and Telecommunications,1
Vanderbilt University,Santa Clara University,1
Vanderbilt University,University of Michigan,1
Vanderbilt University,IIT Delhi,1
Vanderbilt University,Georgia Tech,1
Pennsylvania State University,IIT Kharagpur,1
Pennsylvania State University,IIT Madras,1
Budapest University of Technology and Economics,Budapest University of Technology and Economics,1
Florida State University,University of North Carolina at Chapel Hill,1
University of Massachusetts Dartmouth,University of Virginia,1
Arizona State University,MIT World Peace University,1
Arizona State University,Chaparral High School (Arizona),1
IIT Kharagpur,Government College of Engineering & Textile Technology Serampore,1
IIT Kharagpur,IIT Kharagpur,1
IIT Kharagpur,Birla High School,1
Santa Clara University,Santa Clara University,1
University of Alberta,University of Alberta,2
University of Alberta,Sharif University of Technology,1
Auburn University,Auburn University,1
University of Pittsburgh,University of Wisconsin–Madison,1
University of Pittsburgh,Xiamen University,1
Carleton College,Shattuck-Saint Mary's,1
University of Iowa,Luther College (Iowa),1
University of Texas at Dallas,University of Texas at Dallas,1
University of Illinois College of Law,Purdue University,1
Lancaster University,University of Cambridge,1
IIT Delhi,University of St. Thomas (Minnesota),1
Newcastle University,University of Sussex,1
Newcastle University,Newcastle University,1
University of Minnesota,University of Illinois Urbana-Champaign,1
Galvanize (software company),University of Texas at Austin,1
University of Illinois Chicago,Aurora University,1
Cardiff University,University of Cambridge,1
